"ID","target","mean","median","sd","PAR-1","2%","5%","10%","25%","50%","75%","90%","95%","98%","ERT","runs","ps"
"genetic_algorithm",0.55,1,1,0,1,1,1,1,1,1,1,1,1,1,1,27,1
"genetic_algorithm",0.98,1.85,1,1.66,1.85185185185185,1,1,1,1,1,2,4,5,5,1.85,27,1
"genetic_algorithm",1.41,6.15,5,5.07,6.14814814814815,1,1,1,2,5,8,14,16,16,6.15,27,1
"genetic_algorithm",1.84,58.56,36,58.61,58.5555555555556,2,2,14,20,36,61,128,196,196,58.56,27,1
"genetic_algorithm",2.27,453.52,351,346.29,453.518518518519,21,21,55,145,351,650,824,989,989,453.52,27,1
"genetic_algorithm",2.7,6822.22,5224,7295.39,6822.22222222222,21,21,351,1351,5224,8299,14568,17665,17665,6822.22,27,1
"genetic_algorithm",3.13,99252,60734,107193.19,99252,21,21,6963,13028,60734,138467,251698,351946,351946,99252,27,1
"genetic_algorithm",3.56,390702.45,381273.5,303235.18,548668.481481481,3821,3821,25223,81180,356474,590008,786373,803704,943246,740702.45,20,0.74
"genetic_algorithm",3.99,413662.83,444824,175432.02,869702.851851852,101575,101575,101575,356474,402137,487511,551082,583198,583198,3913662.83,6,0.22
"genetic_algorithm",4.42,421992.5,421992.5,92657.15,957184.62962963,356474,356474,356474,356474,356474,487511,487511,487511,487511,12921992.5,2,0.07
"genetic_algorithm",4.45,421992.5,421992.5,92657.15,957184.62962963,356474,356474,356474,356474,356474,487511,487511,487511,487511,12921992.5,2,0.07
