evaluations raw_y
1 17.8589324309
3 13.3682974562
6 8.8702397962
44 7.5940791468
48 4.0869238171
177 3.7019480747
730 3.5771876290
982 1.9686112958
29274 1.5127399930
32889 1.1704790117
50011 15.6528049893
evaluations raw_y
1 10.0602808418
2 9.2695881217
8 7.2712804645
18 6.3211566076
19 5.7566230603
62 4.3722869070
382 3.3808835836
1185 3.1231299724
1468 2.9488185815
3283 2.5849371444
3378 2.5682858293
4504 2.4153175189
4746 1.9286664284
11176 1.6742476398
14667 1.3158464058
29520 1.3106842639
50000 21.2876626686
evaluations raw_y
1 9.9298382317
4 8.3085392857
24 6.6519003334
47 5.9584056514
135 4.8700278655
231 3.8104316555
385 3.4725824067
499 2.4485451062
6337 2.1085533308
9252 1.8111935198
17968 1.6519012735
23534 12.5088594697
