evaluations raw_y
1 12.1815744520
6 10.1404102908
8 6.7656960691
12 2.5627229061
6199 2.3289835246
7054 1.6855586782
10064 1.8268275310
26029 1.5363281942
33057 1.4980089506
35628 1.2067654640
50009 21.9332122312
evaluations raw_y
1 19.7508399105
3 18.8691370828
4 17.6237200606
5 11.7284425755
6 9.1407366368
8 6.8396752830
27 5.1365892610
36 4.3793491075
69 3.7383107657
120 1.4473546894
18329 1.3020382273
50001 12.6380801930
evaluations raw_y
1 16.3524284086
2 13.4846783955
5 9.7600299683
16 8.7638189766
19 5.7652919979
27 7.0810950478
29 6.0606869717
271 4.7099686535
465 1.7791819334
1018 2.8365567988
6963 2.8685299909
8737 2.8071044307
10963 2.4855548552
12439 2.0439864145
13953 1.4866437019
50003 18.2208842822
evaluations raw_y
1 18.0230196993
5 17.7157958279
10 15.5474810054
13 2.5872359855
1588 2.3866977934
2441 1.6117550529
7094 1.5857706110
12655 1.1890481853
50002 7.4686151123
evaluations raw_y
1 13.5325106591
3 12.8508527663
8 11.6926622950
12 9.9202065548
14 4.2606419539
39 3.3773543960
1030 3.1082509936
1568 2.8088989413
4876 2.1604111706
13745 2.7329059050
16765 2.1723636508
17112 1.9716171300
19409 1.6692776150
29365 1.8733914291
30655 1.5797941221
44563 1.5783223330
50005 10.1747295872
evaluations raw_y
1 9.1501703066
3 8.0065214033
8 7.2671889328
9 5.1527217607
36 3.9478296758
121 3.7224281121
186 2.7085690044
1452 2.4433220173
3100 2.1242310781
14831 2.0251114161
20813 1.9349262040
50007 28.4829452429
evaluations raw_y
1 8.7340943524
3 8.5956773134
17 3.5797675089
18 3.4896049953
385 2.7705391071
868 2.1585669781
5019 2.3127793408
9260 2.0944374247
9797 1.9573365036
10252 1.9128881680
10735 1.7524212316
44774 1.1306187987
50003 17.9641722025
evaluations raw_y
1 19.5224476913
2 16.5628943804
3 14.9402836169
4 7.5615766674
20 6.0630764876
22 2.2610717487
3476 2.2017494309
6984 2.0537220770
21140 1.9213271677
34269 1.9224042222
38217 1.6181861788
44123 1.4558019405
50001 27.8614635738
evaluations raw_y
1 19.4914570270
2 14.6273444494
5 8.0068182698
27 5.6444342107
48 5.4861516555
49 3.2430376217
171 3.2220305577
645 2.5701465338
1037 1.6965698086
44328 1.4967481305
50004 1.4967481305
evaluations raw_y
1 21.6111206908
2 11.6531087867
4 11.3511878484
5 8.4396778053
28 3.4827193806
352 1.3868212736
50029 20.6426119058
evaluations raw_y
1 13.5910510349
4 6.2949215592
17 5.1099794505
53 4.1716203078
85 3.1122536665
434 2.6191580209
1927 2.3873501163
2284 2.2736067107
7734 2.1592806209
16147 2.1382936483
28250 1.7104750274
30188 1.2662645830
50003 21.6546632311
evaluations raw_y
1 7.4514782638
4 5.3130415650
22 3.8595723981
96 3.4541013237
249 3.0764807048
2037 1.8296211846
6716 1.5565373900
50000 21.5869496291
evaluations raw_y
1 24.2032580121
2 8.5254498747
33 7.2282024567
39 6.5715912750
47 6.2200082875
70 4.5611849790
72 5.2615378367
163 4.9446658978
187 4.6447622200
234 3.7522340572
385 3.1701546952
465 2.3037104259
1027 1.7079697774
50006 11.1363194809
evaluations raw_y
1 7.7610851728
3 7.0192690430
4 4.6564930326
44 4.4315398994
125 4.3052970845
410 3.9163777263
785 2.9179623407
1542 1.9219604762
